iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_ASI,,Asia,2020-01-22,556,0,,17,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-23,654,98,,18,1,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-24,937,283,,26,8,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-25,"1,428",491,,42,16,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-26,"2,105",677,,56,14,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-27,"2,912",807,,82,26,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-28,"5,558","2,646",715,131,49,16,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-29,"6,143",585,798,133,2,17,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-30,"8,208","2,065","1,079",171,38,22,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-01-31,"9,889","1,681","1,279",213,42,27,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-01,"11,991","2,102","1,509",259,46,31,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-02,"16,738","4,747","2,090",362,103,44,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-03,"19,827","3,089","2,416",426,64,49,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-04,"23,836","4,009","2,611",492,66,52,5,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-05,"27,579","3,743","3,062",564,72,62,6,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-06,"30,737","3,158","3,218",634,70,66,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-07,"34,264","3,527","3,482",719,85,72,7,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-08,"36,989","2,725","3,571",806,87,78,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-09,"40,013","3,024","3,325",906,100,78,9,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-10,"42,551","2,538","3,246","1,013",107,84,9,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-11,"44,589","2,038","2,965","1,113",100,89,10,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-12,"44,966",377,"2,484","1,118",5,79,10,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-13,"60,117","15,151","4,197","1,371",253,105,13,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-14,"66,599","6,482","4,619","1,523",152,115,14,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-15,"68,674","2,075","4,526","1,665",142,123,15,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-16,"70,787","2,113","4,396","1,769",104,123,15,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-17,"72,721","1,934","4,310","1,867",98,122,16,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-18,"74,515","1,794","4,275","2,007",140,128,16,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-19,"74,935",420,"4,281","2,122",115,143,16,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-20,"75,480",545,"2,195","2,245",123,125,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-21,"76,088",608,"1,356","2,248",3,104,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-22,"77,807","1,719","1,305","2,454",206,113,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-23,"78,030",223,"1,035","2,463",9,99,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-24,"78,517",487,828,"2,619",156,107,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-25,"79,260",743,678,"2,696",77,98,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-26,"80,059",799,732,"2,753",57,90,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-27,"81,151","1,092",810,"2,791",38,78,17,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-28,"82,230","1,079",877,"2,844",53,85,18,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-02-29,"83,720","1,490",845,"2,904",60,64,18,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-01,"85,317","1,597","1,041","2,952",48,70,18,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-02,"86,700","1,383","1,169","3,017",65,57,19,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-03,"88,568","1,868","1,330","3,061",44,52,19,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-04,"89,798","1,230","1,391","3,122",61,53,19,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-05,"91,084","1,286","1,419","3,169",47,54,20,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
OWID_ASI,,Asia,2020-03-06,"93,120","2,036","1,556","3,223",54,54,20,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,639,847,425",,,,,,,,,,,,,,
