Date,Random and Returned from other countries,Navy Personal and their close contacts,Kandakadu cluster & their close contacts,Brandix Minuwangoda,3rd wave (new year)
1-May-2020,81,273,0,0,0
2-May-2020,83,296,0,0,0
3-May-2020,83,311,0,0,0
4-May-2020,83,324,0,0,0
5-May-2020,87,357,0,0,0
6-May-2020,88,372,0,0,0
7-May-2020,89,400,0,0,0
8-May-2020,90,426,0,0,0
9-May-2020,90,437,0,0,0
10-May-2020,90,449,0,0,0
11-May-2020,92,463,0,0,0
12-May-2020,92,469,0,0,0
13-May-2020,93,488,0,0,0
14-May-2020,93,514,0,0,0
15-May-2020,93,524,0,0,0
16-May-2020,93,534,0,0,0
17-May-2020,95,557,0,0,0
18-May-2020,97,576,0,0,0
19-May-2020,98,586,0,0,0
20-May-2020,98,621,0,0,0
21-May-2020,99,621,0,0,0
22-May-2020,115,632,0,0,0
23-May-2020,117,643,0,0,0
24-May-2020,119,662,0,0,0
25-May-2020,169,664,0,0,0
26-May-2020,210,664,0,0,0
27-May-2020,337,674,0,0,0
28-May-2020,390,771,0,0,0
29-May-2020,425,797,0,0,0
30-May-2020,480,797,0,0,0
31-May-2020,518,821,0,0,0
1-Jun-2020,527,822,0,0,0
2-Jun-2020,535,824,0,0,0
3-Jun-2020,567,902,0,0,0
4-Jun-2020,602,933,0,0,0
5-Jun-2020,608,975,0,0,0
6-Jun-2020,610,977,0,0,0
7-Jun-2020,614,986,0,0,0
8-Jun-2020,635,986,0,0,0
9-Jun-2020,647,996,0,0,0
10-Jun-2020,648,997,0,0,0
11-Jun-2020,650,1005,0,0,0
12-Jun-2020,650,1013,0,0,0
13-Jun-2020,651,1015,0,0,0
14-Jun-2020,654,1016,0,0,0
15-Jun-2020,654,1021,0,0,0
16-Jun-2020,667,1024,0,0,0
18-Jun-2020,678,1032,0,0,0
19-Jun-2020,701,1032,0,0,0
20-Jun-2020,704,1032,0,0,0
21-Jun-2020,704,1032,0,0,0
22-Jun-2020,704,1032,0,0,0
23-Jun-2020,705,1032,0,0,0
24-Jun-2020,745,1032,0,0,0
25-Jun-2020,752,1035,0,0,0
26-Jun-2020,755,1041,0,0,0
27-Jun-2020,759,1041,0,0,0
28-Jun-2020,778,1041,0,0,0
29-Jun-2020,782,1041,0,0,0
30-Jun-2020,787,1041,0,0,0
1-Jul-2020,792,1041,0,0,0
2-Jul-2020,798,1042,0,0,0
3-Jul-2020,810,1042,0,0,0
4-Jul-2020,813,1042,0,0,0
5-Jul-2020,818,1042,0,0,0
6-Jul-2020,820,1042,0,0,0
7-Jul-2020,821,1042,0,0,0
8-Jul-2020,824,1043,0,0,0
9-Jul-2020,837,1043,0,0,0
10-Jul-2020,894,1044,0,0,0
11-Jul-2020,985,1057,0,0,0
12-Jul-2020,1042,1057,0,0,0
13-Jul-2020,1148,1057,0,0,0
14-Jul-2020,1177,1057,0,0,0
15-Jul-2020,1196,1057,0,0,0
16-Jul-2020,1204,1057,534,0,0
17-Jul-2020,1211,1057,542,0,0
18-Jul-2020,1213,1057,551,0,0
19-Jul-2020,1224,1057,557,0,0
20-Jul-2020,1240,1057,561,0,0
21-Jul-2020,1245,1057,562,0,0
22-Jul-2020,1245,1057,562,0,0
23-Jul-2020,1256,1057,563,0,0
24-Jul-2020,1257,1057,563,0,0
25-Jul-2020,1258,1057,573,0,0
26-Jul-2020,1264,1057,573,0,0
27-Jul-2020,1268,1057,581,0,0
28-Jul-2020,1275,1057,598,0,0
29-Jul-2020,1279,1057,599,0,0
30-Jul-2020,1279,1057,600,0,0
31-Jul-2020,1281,1057,600,0,0
1-Aug-2020,1283,1057,601,0,0
2-Aug-2020,1283,1057,601,0,0
3-Aug-2020,1290,1057,602,0,0
4-Aug-2020,1294,1057,603,0,0
5-Aug-2020,1300,1057,603,0,0
6-Aug-2020,1303,1057,605,0,0
7-Aug-2020,1303,1057,605,0,0
8-Aug-2020,1303,1057,605,0,0
9-Aug-2020,1305,1057,605,0,0
10-Aug-2020,1306,1057,607,0,0
11-Aug-2020,1310,1057,630,0,0
12-Aug-2020,1319,1057,630,0,0
13-Aug-2020,1319,1057,630,0,0
14-Aug-2020,1320,1057,630,0,0
15-Aug-2020,1321,1057,630,0,0
16-Aug-2020,1324,1057,630,0,0
17-Aug-2020,1327,1057,630,0,0
18-Aug-2020,1334,1057,630,0,0
19-Aug-2020,1336,1057,630,0,0
20-Aug-2020,1336,1057,630,0,0
21-Aug-2020,1351,1057,630,0,0
22-Aug-2020,1373,1057,630,0,0
23-Aug-2020,1379,1057,630,0,0
24-Aug-2020,1385,1057,630,0,0
25-Aug-2020,1391,1057,630,0,0
26-Aug-2020,1401,1057,630,0,0
27-Aug-2020,1414,1057,630,0,0
28-Aug-2020,1416,1057,630,0,0
29-Aug-2020,1419,1057,630,0,0
30-Aug-2020,1425,1057,630,0,0
31-Aug-2020,1440,1057,630,0,0
1-Sep-2020,1496,1057,630,0,0
2-Sep-2020,1506,1057,640,0,0
3-Sep-2020,1515,1057,640,0,0
4-Sep-2020,1525,1057,640,0,0
5-Sep-2020,1527,1057,640,0,0
6-Sep-2020,1532,1057,641,0,0
7-Sep-2020,1534,1057,641,0,0
8-Sep-2020,1542,1057,650,0,0
9-Sep-2020,1548,1057,650,0,0
10-Sep-2020,1554,1057,650,0,0
11-Sep-2020,1568,1057,650,0,0
12-Sep-2020,1594,1057,650,0,0
13-Sep-2020,1632,1057,650,0,0
14-Sep-2020,1656,1057,650,0,0
15-Sep-2020,1663,1057,650,0,0
16-Sep-2020,1663,1057,650,0,0
17-Sep-2020,1663,1057,650,0,0
18-Sep-2020,1668,1057,650,0,0
19-Sep-2020,1673,1057,650,0,0
20-Sep-2020,1675,1057,650,0,0
21-Sep-2020,1679,1057,650,0,0
22-Sep-2020,1689,1057,650,0,0
23-Sep-2020,1701,1057,651,0,0
24-Sep-2020,1711,1057,651,0,0
25-Sep-2020,1718,1057,651,0,0
26-Sep-2020,1724,1057,651,0,0
27-Sep-2020,1728,1057,651,0,0
28-Sep-2020,1733,1057,651,0,0
29-Sep-2020,1736,1057,651,0,0
30-Sep-2020,1747,1057,651,0,0
1-Oct-2020,1752,1057,651,0,0
2-Oct-2020,1754,1057,651,0,0
3-Oct-2020,1758,1057,651,0,0
4-Oct-2020,1765,1057,651,0,0
5-Oct-2020,1769,1057,651,70,0
6-Oct-2020,1779,1057,651,322,0
7-Oct-2020,1786,1057,651,831,0
8-Oct-2020,1791,1057,651,1033,0
9-Oct-2020,1797,1057,651,1052,0
10-Oct-2020,1800,1057,651,1082,0
11-Oct-2020,1800,1057,651,1185,0
12-Oct-2020,1803,1057,651,1306,0
13-Oct-2020,1803,1057,651,1396,0
14-Oct-2020,1803,1057,651,1590,0
15-Oct-2020,1803,1057,651,1720,0
16-Oct-2020,1807,1057,651,1788,0
17-Oct-2020,1807,1057,651,1898,0
18-Oct-2020,1810,1057,651,2013,0
19-Oct-2020,1812,1057,651,2121,0
20-Oct-2020,1812,1057,651,2221,0
21-Oct-2020,1818,1057,651,2341,0
22-Oct-2020,1819,1057,651,2507,0
23-Oct-2020,1819,1057,651,2816,0
24-Oct-2020,1820,1057,651,3681,0
25-Oct-2020,1820,1057,651,4049,0
26-Oct-2020,1821,1057,651,4397,0
27-Oct-2020,1821,1057,651,4938,0
28-Oct-2020,1821,1057,651,5395,0
29-Oct-2020,1821,1057,651,5730,0
30-Oct-2020,1822,1057,651,6312,0
31-Oct-2020,1822,1057,651,6945,0
1-Nov-2020,1822,1057,651,7184,0
2-Nov-2020,1822,1057,651,7581,0
3-Nov-2020,1822,1057,651,7856,0
4-Nov-2020,1822,1057,651,8265,0
5-Nov-2020,1822,1057,651,8708,0
6-Nov-2020,1822,1057,651,9091,0
7-Nov-2020,1822,1057,651,9491,0
8-Nov-2020,1824,1057,651,9936,0
9-Nov-2020,1824,1057,651,10446,0
10-Nov-2020,1824,1057,651,10802,0
11-Nov-2020,1824,1057,651,11232,0
12-Nov-2020,1834,1057,651,11857,0
13-Nov-2020,1838,1057,651,12226,0
14-Nov-2020,1838,1057,651,12694,0
15-Nov-2020,1841,1057,651,13083,0
16-Nov-2020,1841,1057,651,13787,0
17-Nov-2020,1845,1057,651,14169,0
18-Nov-2020,1848,1057,651,14567,0
19-Nov-2020,1848,1057,651,14892,0
20-Nov-2020,1849,1057,651,15329,0
21-Nov-2020,1851,1057,651,15764,0
22-Nov-2020,1854,1057,651,16251,0
23-Nov-2020,1862,1057,651,16642,0
24-Nov-2020,1862,1057,651,16977,0
25-Nov-2020,1863,1057,651,17435,0
26-Nov-2020,1863,1057,651,17937,0
27-Nov-2020,1864,1057,651,18490,0
28-Nov-2020,1864,1057,651,18962,0
29-Nov-2020,1864,1057,651,19449,0
30-Nov-2020,1864,1057,651,19945,0
1-Dec-2020,1871,1057,651,20441,0
2-Dec-2020,1875,1057,651,20982,0
3-Dec-2020,1875,1057,651,21860,0
4-Dec-2020,1876,1057,651,22487,0
5-Dec-2020,1879,1057,651,23004,0
6-Dec-2020,1879,1057,651,23673,0
7-Dec-2020,1880,1057,651,24321,0
8-Dec-2020,1880,1057,651,25024,0
9-Dec-2020,1881,1057,651,25821,0
10-Dec-2020,1884,1057,651,26515,0
11-Dec-2020,1951,1057,651,26984,0
12-Dec-2020,1951,1057,651,27746,0
13-Dec-2020,1956,1057,651,28501,0
14-Dec-2020,1961,1057,651,29151,0
15-Dec-2020,1961,1057,651,29836,0
16-Dec-2020,1980,1057,651,30458,0
17-Dec-2020,1985,1057,651,31069,0
18-Dec-2020,1985,1057,651,31719,0
19-Dec-2020,1987,1057,651,32379,0
20-Dec-2020,1987,1057,651,32997,0
21-Dec-2020,1989,1057,651,33589,0
22-Dec-2020,1995,1057,651,33953,0
23-Dec-2020,1996,1057,651,34380,0
24-Dec-2020,1997,1057,651,34959,0
25-Dec-2020,2000,1057,651,35547,0
26-Dec-2020,2000,1057,651,36098,0
27-Dec-2020,2005,1057,651,36691,0
28-Dec-2020,2011,1057,651,37359,0
29-Dec-2020,2030,1057,651,37889,0
30-Dec-2020,2037,1057,651,38342,0
31-Dec-2020,2037,1057,651,38978,0
1-Jan-2021,2040,1057,651,39570,0
2-Jan-2021,2041,1057,651,40126,0
3-Jan-2021,2054,1057,651,40628,0
4-Jan-2021,2054,1057,651,41031,0
5-Jan-2021,2055,1057,651,41498,0
6-Jan-2021,2058,1057,651,41977,0
7-Jan-2021,2059,1057,651,42498,0
8-Jan-2021,2066,1057,651,43023,0
9-Jan-2021,2067,1057,651,43547,0
10-Jan-2021,2067,1057,651,44082,0
11-Jan-2021,2071,1057,651,44618,0
12-Jan-2021,2072,1057,651,45186,0
13-Jan-2021,2075,1057,651,45770,0
14-Jan-2021,2080,1057,651,46457,0
15-Jan-2021,2080,1057,651,47127,0
16-Jan-2021,2088,1057,651,47810,0
17-Jan-2021,2090,1057,651,48525,0
18-Jan-2021,2104,1057,651,49274,0
19-Jan-2021,2149,1057,651,49901,0
20-Jan-2021,2157,1057,651,50561,0
21-Jan-2021,2159,1057,651,51329,0
22-Jan-2021,2172,1057,651,52202,0
23-Jan-2021,2172,1057,651,52986,0
24-Jan-2021,2172,1057,651,53710,0
25-Jan-2021,2172,1057,651,54551,0
26-Jan-2021,2172,1057,651,55288,0
27-Jan-2021,2179,1057,651,56036,0
28-Jan-2021,2209,1057,651,56778,0
29-Jan-2021,2249,1057,651,57630,0
30-Jan-2021,2249,1057,651,58489,0
31-Jan-2021,2249,1057,651,59337,0
1-Feb-2021,2276,1057,651,60174,0
2-Feb-2021,2286,1057,651,60990,0
3-Feb-2021,2286,1057,651,61705,0
4-Feb-2021,2286,1057,651,62416,0
5-Feb-2021,2288,1057,651,63120,0
6-Feb-2021,2294,1057,651,63849,0
7-Feb-2021,2294,1057,651,64575,0
8-Feb-2021,2294,1057,651,65347,0
9-Feb-2021,2303,1057,651,66225,0
10-Feb-2021,2304,1057,651,67200,0
11-Feb-2021,2312,1057,651,68155,0
12-Feb-2021,2315,1057,651,69094,0
13-Feb-2021,2319,1057,651,70030,0
14-Feb-2021,2319,1057,651,70826,0
15-Feb-2021,2320,1057,651,71627,0
16-Feb-2021,2320,1057,651,72401,0
17-Feb-2021,2320,1057,651,73157,0
18-Feb-2021,2329,1057,651,73870,0
19-Feb-2021,2342,1057,651,74371,0
20-Feb-2021,2352,1057,651,74877,0
21-Feb-2021,2367,1057,651,75405,0
22-Feb-2021,2368,1057,651,75923,0
23-Feb-2021,2396,1057,651,76413,0
24-Feb-2021,2424,1057,651,76905,0
25-Feb-2021,2452,1057,651,77363,0
26-Feb-2021,2398,1057,651,77827,0
27-Feb-2021,2408,1057,651,78314,0
28-Feb-2021,2442,1057,651,78739,0
