Number inward as at yesterday-10 am,COVID 19 Positive - last 24H,Discharged from the hospital - last 24H,Number of deaths - last 24H,Number inward as at today-10 am,Date,Total Number Confirmed,Total Number Recovered,Total Number of Deaths
104,21,2,0,123,1-Apr-2020,143,18,2
123,5,3,1,124,2-Apr-2020,148,21,3
124,3,1,1,125,3-Apr-2020,151,22,4
125,8,3,1,129,4-Apr-2020,159,25,5
129,7,4,0,132,5-Apr-2020,166,29,5
132,10,5,0,137,6-Apr-2020,176,34,5
137,4,8,1,132,7-Apr-2020,180,42,6
132,6,0,0,138,8-Apr-2020,186,42,6
138,3,5,1,135,9-Apr-2020,189,47,7
135,1,3,0,133,10-Apr-2020,190,50,7
133,7,4,0,136,11-Apr-2020,197,54,7
136,2,1,0,137,12-Apr-2020,199,55,7
137,11,1,0,147,13-Apr-2020,210,56,7
147,8,3,0,152,14-Apr-2020,218,59,7
152,15,4,0,163,15-Apr-2020,233,63,7
163,5,2,0,166,16-Apr-2020,238,65,7
166,0,5,0,161,17-Apr-2020,238,70,7
161,6,7,0,160,18-Apr-2020,244,77,7
160,10,14,0,156,19-Apr-2020,254,91,7
156,17,6,0,167,20-Apr-2020,271,97,7
167,33,3,0,197,21-Apr-2020,304,100,7
197,6,4,0,199,22-Apr-2020,310,104,7
199,20,1,0,218,23-Apr-2020,330,105,7
218,38,2,0,254,24-Apr-2020,368,107,7
254,52,9,0,297,25-Apr-2020,420,116,7
297,40,4,0,333,26-Apr-2020,460,120,7
333,63,6,0,390,27-Apr-2020,523,126,7
390,65,8,0,447,28-Apr-2020,588,134,7
447,31,0,0,478,29-Apr-2020,619,134,7
478,30,5,0,503,30-Apr-2020,649,139,7
503,16,18,0,501,1-May-2020,665,157,7
501,25,15,0,511,2-May-2020,690,172,7
511,15,10,0,516,3-May-2020,705,182,7
516,13,5,1,523,4-May-2020,718,187,7
523,37,10,0,550,5-May-2020,755,197,8
550,16,18,1,547,6-May-2020,771,215,9
