District,latitude,lontitude,total till 2021.05.31
AMPARA,7.29754,81.68202,1425
ANURADHAPURA,8.31223,80.41306,2499
BADULLA,6.9895,81.0557,2852
BATTICOLOA,7.7102,81.6924,1381
COLOMBO,6.93194,79.84778,47554
GALLE,6.0367,80.217,7542
GAMPAHA,7.0897,79.9925,31854
HAMBANTOTA,6.124593,81.101074,2296
JAFFNA,9.66845,80.00742,2942
KALMUNAI,7.40902,81.83472,1394
KALUTARA,6.5831,79.9593,18662
KANDY,7.2955,80.6356,9807
KEGALLE,7.2523,80.3436,3641
KILINOCHCHI,9.3961,80.3982,825
KURUNEGALA,7.4863,80.3623,8960
MANNAR,8.9667,79.8833,544
MATALE,7.6667,80.75,3936
MATARA,5.94851,80.53528,4188
MONERAGALA,6.8714,81.3487,1827
MULLATIVU,9.15,80.6833,834
NUWARAELIYA,6.97078,80.78286,3787
POLONNARUWA,7.93965,81.00274,1587
PUTTALAM,8.0362,79.8283,2631
RATNAPURA,6.68278,80.39917,7415
TRINCOMALEE,8.5711,81.2335,2112
VAVUNIA,8.7514,80.4971,1001
