,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,Afghanistan,36144.99777282851,141.64365256124722,140.63313585746087,1414.837416481069,6.11358574610245,6.075075723830734,928.5008552338529,3.6385968819599093,3.612634743875275,36.34468151447662,0.15704899777282905,0.15603786191536767,0.964743875278396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2063.924276169265,1940.0400890868598,123.88418708240535,0.0,1039.71714922049,0.00532293986636971,0.004988864142538975,0.000311804008908686,26.739420935412028,36.04786191536779,38928341.0,54.42199999999965,18.600000000000154,2.5809999999999995,1.3369999999999922,1803.9869999999935,0.0,597.0290000000033,9.590000000000058,0.0,0.0,37.745999999999626,0.5,64.83000000000072,0.5109999999999972
1,Albania,40585.966517857145,294.7142857142857,294.4585424107144,773.7299107142857,5.435267857142857,5.417455357142859,14103.122714285711,102.40956696428579,102.32071428571426,268.8615915178571,1.888542410714286,1.8825022321428597,0.9619642857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.325892857143,180304.10714285713,62.65344196428573,0.5053660714285714,1436.6495535714287,0.4991941964285718,0.1718906250000001,7.909151785714287,39040.107142857145,5024.84375,2215.671875,1117.5357142857142,1454.6205357142858,1.3565848214285716,0.1745982142857143,0.07698660714285714,505.44419642857144,61.69261160714259,2877800.0,104.87099999999934,38.0,13.188000000000082,8.643000000000027,11803.430999999937,1.100000000000009,304.19500000000346,10.07999999999995,7.099999999999944,51.20000000000042,0.0,2.8900000000000117,78.56999999999975,0.7950000000000005
2,Algeria,58392.799107142855,280.10044642857144,279.0491004464287,1770.9464285714287,7.546875,7.50286830357143,1331.617104910714,6.38754464285715,6.363573660714283,40.38549553571427,0.172037946428571,0.17106919642857138,0.9785044642857148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.47767857142858,0.0,0.0,0.06696428571428571,154.17410714285714,0.00037946428571428576,0.0,0.0,3.5,71.55941964285736,43851043.0,17.34799999999996,29.10000000000023,6.2109999999999514,3.8569999999999838,13913.838999999938,0.5,278.36400000000117,6.730000000000016,0.6999999999999941,30.399999999999768,83.74100000000101,1.8999999999999855,76.8800000000002,0.7479999999999949
3,Andorra,5014.5158371040725,30.667420814479637,30.532352941176473,69.17647058823529,0.2873303167420814,0.2873891402714935,64900.22434841629,396.9121742081446,395.1636447963804,895.3144049773763,3.718696832579186,3.7188461538461577,0.8993212669683249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7453.294117647059,96.46404298642531,0.0,142.0497737556561,1.8384728506787333,0.025667420814479636,3.4366515837104066,491.07013574660635,291.158371040724,60.9683257918552,10.864253393665159,68.0497737556561,0.6355429864253395,0.3768552036199095,0.07893665158371041,880.7352941176471,48.06803167420829,77265.0,163.7549999999994,0.0,0.0,0.0,0.0,0.0,109.13500000000018,7.96999999999993,29.0,37.79999999999969,0.0,0.0,83.73000000000002,0.867999999999996
4,Angola,10315.082547169812,72.61084905660377,70.76921933962265,254.23584905660377,1.596698113207547,1.541466981132075,313.8501462264152,2.209275943396225,2.1532358490566046,7.735507075471704,0.04851650943396219,0.04690330188679238,0.8667452830188683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5137.568396226415,5042.768867924528,94.7995283018868,0.0,1420.6084905660377,0.01563679245283019,0.015330188679245283,0.0002830188679245283,43.24528301886792,67.74573113207578,32866268.0,23.89,16.800000000000118,2.40499999999998,1.362000000000005,5819.495000000063,0.0,276.04499999999854,3.9400000000000373,0.0,0.0,26.664000000000133,0.0,61.150000000000375,0.5809999999999957
5,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.19417475728153,425.6407766990291,50.55339805825243,13.79611650485437,125.25242718446601,3.1741747572815533,2.837184466019418,0.3369902912621359,8348.970873786408,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88000000000007,0.0
6,Antigua and Barbuda,298.8190255220418,2.902552204176334,2.8790417633410663,8.248259860788863,0.09744779582366589,0.07825058004640377,3051.415556844548,29.63969141531323,29.39935498839907,84.2279141531324,0.9951136890951273,0.798837587006961,0.38232018561484904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0162412993039,712.0162412993039,0.0,0.5220417633410673,78.42691415313224,0.7270533642691416,0.7270533642691416,0.0,800.84686774942,0.0,97928.0,231.84500000000094,32.100000000000236,6.932999999999994,4.63100000000003,21490.942999999974,0.0,191.51099999999894,13.170000000000055,0.0,0.0,0.0,3.7999999999999714,77.02000000000032,0.7780000000000025
7,Argentina,918822.3021868787,6632.1371769383695,6490.318077534789,22305.176938369783,141.20675944333996,138.6046520874751,20329.826443339956,146.7423956262425,143.6045427435388,493.5234652087475,3.1243339960238563,3.066763419483101,0.9471769383697813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18221.13320079523,2654078.0815109345,58.724021868787275,0.40313320079522863,18042.920477137177,0.3991968190854871,0.20166998011928408,6.579721669980127,845285.1868787276,708665.4771371769,135531.34791252486,18944.079522862823,19289.76143141153,1.8703379721669984,1.567992047713718,0.2999204771371769,426.8111332007952,71.65399602385622,45195777.0,16.176999999999865,31.899999999999746,11.198000000000052,7.440999999999922,18933.906999999825,0.6,191.03200000000163,5.5,16.19999999999987,27.700000000000227,0.0,5.0,76.66999999999902,0.8450000000000102
8,Armenia,90006.35891647855,498.70654627539506,497.4914582392779,1620.9277652370204,9.781038374717832,9.70331151241535,30374.367609480818,168.29806320541758,167.8880022573363,547.0130790067722,3.300751693002252,3.2745598194130903,1.0115801354401806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.8329571106094,298063.41534988716,100.58720316027085,0.39443792325056426,2316.6794582392777,0.7817878103837468,0.19238826185101582,6.907900677200906,68.941309255079,68.941309255079,0.0,0.0,35.73363431151242,0.002325056433408578,0.002325056433408578,0.0,12.051918735891649,0.0,2963234.0,102.93099999999936,35.70000000000029,11.231999999999973,7.5709999999999456,8787.580000000049,1.799999999999989,341.00999999999925,7.110000000000015,1.5,52.09999999999976,94.04300000000003,4.20000000000003,75.09000000000007,0.7760000000000061
9,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45054.56,31605.7,13448.86,848.82,1302.92,42.198600000000006,29.6026,12.5962,12203.54,59.37260000000005,106766.0,584.7999999999996,41.200000000000024,13.085000000000003,7.451999999999999,35973.78099999998,0.0,0.0,11.620000000000003,0.0,0.0,0.0,0.0,76.28999999999998,0.0
